,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,date
121,16279473,1672184999,7442677.759944814265432572332717662,3539079.3590995279255736134199655,2022-12-27 23:49:20
122,16286687,1672271891,7299301.544169883097978309681841538,2938900.0816731425114975769862488,2022-12-28 23:57:52
123,16293749,1672357103,7592274.824816960439180750763543302,7315231.7312279200408869456005684,2022-12-29 23:38:40
124,16301018,1672444739,4577252.450330116454636731020594967,3268439.2895871427813861450071374,2022-12-31 00:00:00
125,16308003,1672528967,7585674.525413163767087995171788362,2840798.9474562378656763083803455,2022-12-31 23:23:44
126,16315332,1672617251,8205618.454015080890838576008863557,6023233.4682438829879534632587261,2023-01-01 23:53:36
127,16322486,1672703447,8236919.509279173001150445301007366,4113387.3223111281983283757672835,2023-01-02 23:51:28
128,16329609,1672789307,8242088.675106216275938985214453114,7289348.1439800457553340042200512,2023-01-03 23:40:48
129,16336589,1672873415,9586020.392779880644350438340223243,4478001.1047913285068368149470387,2023-01-04 23:04:32
130,16343956,1672962395,9606830.316641556809814297650028003,4126847.456674780876630962167917,2023-01-05 23:47:12
131,16351179,1673049551,9524903.776668974943580798239073824,2456191.8429854829143525360467548,2023-01-07 00:00:00
132,16358332,1673135831,10170973.75223540415209264091283089,3039094.8367398588693041289086766,2023-01-07 23:57:52
133,16365341,1673220359,9717992.381012819315330042753040711,530518.205152509233250237133207,2023-01-08 23:25:52
134,16372412,1673305607,15265499.05426522363614612236107453,6080859.4958480064833610438044495,2023-01-09 23:06:40
135,16379717,1673393663,15611510.2564516296475718777989871,3448086.7997423117397525913590174,2023-01-10 23:34:24
136,16386986,1673481443,16280801.50682527814088265263456753,2914496.3434251100039306346391282,2023-01-11 23:57:52
137,16393776,1673563439,16840300.51267090361051941521300477,3195999.2202131181906813072014814,2023-01-12 22:43:12
138,16401296,1673654147,17166936.37179756249172205345244705,2405766.1573671916276469577673803,2023-01-13 23:55:44
139,16408264,1673738123,18350212.96709210325530967712329356,3416674.51843227526318824346084,2023-01-14 23:15:12
140,16415534,1673825999,17043249.31088944938412808831186811,3641500.599683502100943187633671,2023-01-15 23:40:48
141,16422764,1673913251,17481425.56525974525838626152317122,3435418.8367576407556470844135247,2023-01-16 23:53:36
142,16429823,1673998307,14199801.72490904081718910514272333,8881883.9785234470360312556525233,2023-01-17 23:32:16
143,16436907,1674083711,10667404.66850202928921455197422357,13183668.9763801283216810956644707,2023-01-18 23:15:12
144,16444218,1674171947,10990431.27369672991023679566065111,3540737.5068755557552440539699019,2023-01-19 23:45:04
145,16451446,1674259067,14889217.05647361697120717743321926,7055378.6926501473248498706347291,2023-01-20 23:57:52
146,16458223,1674340811,14936251.90375661677237338747207921,4196423.4975815177366059733597554,2023-01-21 22:41:04
147,16465763,1674431795,14540216.67292114406726045497809353,5224535.9094843496641110287849578,2023-01-22 23:55:44
148,16472870,1674517487,16178669.46757532888075872110882844,11929418.6309049969102473548390177,2023-01-23 23:45:04
149,16480106,1674604739,14717490.72589253341866107391893439,8747513.8804254448823453960224472,2023-01-25 00:00:00
150,16487003,1674687971,15058275.95477016090673876814903708,4301974.3726012823093560278109515,2023-01-25 23:06:40
151,16494247,1674775343,15500002.16647628750145242474784787,6864018.3587580460581251870680086,2023-01-26 23:21:36
152,16501519,1674863171,15386730.44049458755980735810787243,2954152.0459253753931072895566124,2023-01-27 23:47:12
153,16508700,1674949715,16622496.03109898436716903117045844,1345751.0709698240389677543347319,2023-01-28 23:49:20
154,16515859,1675036103,17478683.56392233087505257255167178,4265203.8706817614482270069400261,2023-01-29 23:49:20
155,16523029,1675122539,16450818.89583536835564127086709624,4192984.9904739285778101798627206,2023-01-30 23:49:20
156,16529952,1675206059,17293224.36661289581604811677016882,3958482.3882751186570407413387443,2023-01-31 23:00:16
157,16537393,1675295843,17895725.04070108594042398497527473,5209451.870020947042964060788792,2023-02-01 23:57:52
158,16544382,1675380419,17832824.9238528486543021228422397,3306867.6449445877985575144585682,2023-02-02 23:28:00
159,16551669,1675468427,17921197.88389577237497420166604602,21275063.0052468854332452460896167,2023-02-03 23:53:36
160,16558839,1675554983,18825523.35066300185795041808644234,2718500.6057782506942489017506891,2023-02-04 23:55:44
161,16565900,1675640111,18514902.50195333498764124429912225,3230758.4220911788088535786015144,2023-02-05 23:34:24
162,16573109,1675727027,18191893.5214256207834269162750144,10375397.1179589804038615024295418,2023-02-06 23:42:56
163,16580314,1675814123,17383059.11342516952284912600957467,10261783.5573805081998551488427006,2023-02-07 23:55:44
164,16587465,1675900667,8176372.545018779942942333748929085,9006760.2928407698046886600125251,2023-02-08 23:57:52
165,16594402,1675984439,8092593.009309588859537938189101179,29399636.7438471635441066352041076,2023-02-09 23:13:04
166,16601700,1676072411,6990395.473734270497354334496704547,5483585.5264455681180032885031299,2023-02-10 23:40:48
167,16608836,1676158511,7487152.381409338565771695428188361,1397857.8523764499955725457139637,2023-02-11 23:34:24
168,16616096,1676246171,7314626.619961393470881276481955237,2140164.0297529066545115800972057,2023-02-12 23:55:44
169,16623249,1676332499,7438964.028341830731136830414544756,3039687.3500316092299949469432154,2023-02-13 23:55:44
170,16630261,1676417255,8050758.499858457419528581641966055,3264349.4947149260872380502164714,2023-02-14 23:28:00
171,16637472,1676504375,8611212.640981375700090824045403193,9776235.1449215327369315918163795,2023-02-15 23:38:40
172,16644375,1676587703,8532950.221735258060925939842633096,3137550.2334680710376119491111927,2023-02-16 22:47:28
173,16651786,1676677883,8772484.815404188041607540723607375,1628802.3123420167868006683881783,2023-02-17 23:51:28
174,16658799,1676763131,8714346.793006054243255293401383933,1314953.436923351647022172866209,2023-02-18 23:32:16
175,16665744,1676847431,8718791.878774909412000015083280724,4465561.4387403535283862530579383,2023-02-19 22:58:08
176,16672848,1676933555,8694869.070023673364065584390651013,5722248.6546070661500108250022034,2023-02-20 22:51:44
177,16680113,1677021719,8431900.412271977724601118555501813,2341617.048975769601631055678702,2023-02-21 23:21:36
178,16687266,1677108815,8602941.309225205812746474575142974,3858053.0934387558598086390424592,2023-02-22 23:34:24
179,16694126,1677192107,10357044.5713379738317595093966705,4187150.2231208368223991921833799,2023-02-23 22:41:04
180,16701260,1677279083,8379169.0194722329058701612007587,1981991.2842570854991216631328768,2023-02-24 22:51:44
181,16708709,1677369587,8340307.921462457053832344488421132,843947.3349609859813511308487863,2023-02-26 00:00:00
182,16715488,1677451859,8533270.299616858500780402426587849,1661443.7182867686116276278724249,2023-02-26 22:51:44
