day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,token0Balance,token0PriceUSD,token1Balance,token1PriceUSD,dailyLPFeeROI,dailyCRVRewardROI,dailyOPRewardROI,outputTokenPriceUSD
19252,23559786,1663457961,9530305.392385592001203116858652373,55708.012311415746666954051172,11.1416024622831493333908102344,2069041148761456939568,1472.230922,4409137613873405320605,1472.265179,1.1690708748100487e-06,4.66242635516596e-21,6.3995562271291655e-18,1476.133662386634123497394274
19253,23669282,1663544430,9023801.683935643985170735749724925,355134.58629296868567081303073,71.026917258593737134162606146,2362237465133605707394,1356.912651,4301409538939501749259,1340.96,7.87106363219809e-06,4.2719938425426454e-21,5.561389559867126e-18,1358.409102016740220789571608
19254,23811992,1663626920,8652819.542287935442292671342573248,249401.5671467795359705131422175,49.8803134293559071941026284435,2061814476370279794863,1385.619022,4186955652752142924617,1376.66,5.764631191668977e-06,4.6266480679772295e-21,5.90234179629586e-18,1389.327776683892574466177176
19255,24030582,1663711600,8379616.918237466821603303624893525,86643.0393082184445560025411465,17.3286078616436889112005082293,1996265649436351672700,1337.595199,4267478015849859882291,1320.52,2.067947500550958e-06,4.715947096702935e-21,5.9059644195997214e-18,1342.384640305161548888050195
19256,24394896,1663804747,8169477.364735040439563779980047826,344554.0850432035755765730109985,68.9108170086407151153146021997,2252350497127355419825,1258.927559,4240204581980491054466,1253.67,8.435156122239368e-06,4.3320463144365765e-21,5.9117178218301605e-18,1262.313985835288136112008422
19257,24652164,1663883515,8625883.718163180876008457233266088,87276.2895875686466657021861485,17.4552579175137293331404372297,2208045694789456131655,1324.307141,4309100849092431793112,1314.592405,2.023590682164992e-06,4.4346398035478555e-21,5.598222983883371e-18,1327.89594846061434777683976
19258,24987712,1663976839,8689856.886138011985111039181085068,318782.6976472704020633323534495,63.7565395294540804126664706899,2017477239523951560492,1337.602497,4484042781000468438744,1331.776107,7.336891776797611e-06,4.619288283840983e-21,5.657984882699526e-18,1341.315681960733035143638366
19259,25197781,1664061562,8527228.975474748526758302465714242,157354.0901013990667324819953335,31.4708180202798133464963990667,2089647171261039991342,1325.689839,4343187151862333332759,1311.602281,3.690626592858402e-06,4.475925490503584e-21,5.562107153070324e-18,1330.087782975709316645350817
19260,25419955,1664149109,8539778.975040799295024376311583907,31825.1937665725157982837489445,6.3650387533145031596567497889,2133567606294822877814,1301.145678,4434247355999598547188,1293.7,7.453399873600469e-07,4.367509785195988e-21,5.513081021755173e-18,1304.672462910707656308742458
19261,25643851,1664236376,8869785.413493571211918626731194437,20747.880912671557118798806943,4.1495761825343114237597613886,2157825573806331278211,1341.433933,4459525846003334940137,1333.282856,4.678327590903808e-07,4.308872831561775e-21,5.3511322204041344e-18,1344.932393684436298022313123
19262,25849611,1664322526,11857733.48866550625288458029889787,94440.0368210999623530351170525,18.8880073642199924706070234105,3189210921967913227340,1338.917427,5707377444320874532671,1332.031713,1.5928851312330924e-06,3.175842127038505e-21,3.955912764488676e-18,1337.05203476661050590960218
19263,26113843,1664409589,11781841.78186763526099456808384646,272564.2429251712512505841290415,54.5128485850342502501168258083,2980777406702714215119,1349.084915,5757282460173473488015,1336.815652,4.6268528804155254e-06,3.2844468587814493e-21,3.973830419573778e-18,1352.772527268399051666424465
19264,26344744,1664491508,11064739.08463815629228810169908462,366098.166033820707949398118674,73.2196332067641415898796237348,2599503288041777484282,1339.685763,5663284345917074089659,1328.22,6.617384526348151e-06,3.414934306165659e-21,4.2403226350426666e-18,1343.83344955557331798502511
19265,26590062,1664581125,11176426.55715841371748135225446587,40605.420714072327237540414346,8.1210841428144654475080828692,2649990643316274053074,1337.502977,5712595483268133080503,1328,7.26626180674267e-07,3.3312463650853993e-21,4.247706471674905e-18,1341.170905249516398123682281
19266,26799053,1664663564,11068585.36562053685986568919773871,51850.7191270569496386312907645,10.3701438254113899277262581529,2667767811979466645203,1323.458296,5701867635722686731702,1313.929323,9.368987528994866e-07,3.284862221941834e-21,4.16713730623694e-18,1327.089162875333243518901376
19267,27032700,1664754898,10654831.72139666480769756061243106,21475.9582464782268035280647405,4.2951916492956453607056129481,2642279626515889350065,1292.309776,5617026365002923702599,1280.7951,4.031214909448256e-07,3.319619467077058e-21,4.0787029283053155e-18,1294.532644003553674093586002
19268,27223161,1664840366,10803163.07708869835099671220514372,20597.3616111144388430370523475,4.1194723222228877686074104695,2621768420831344684862,1331.945299,5524278227522338671409,1325.842184,3.813209421006933e-07,3.362581820851628e-21,4.130766587300256e-18,1330.781758014996080541590879
19269,27402703,1664926896,11004856.52086019281811425810817059,70050.929258793104112891446785,14.010185851758620822578289357,2570134711746830186642,1369.725662,5510514661074500874805,1362.16,1.2730911870774229e-06,3.3768468273913764e-21,4.1001881523765085e-18,1366.6489680523721392908159
19270,27650314,1665013717,10218226.6047481630691285550068238,113922.8396176521594218928299165,22.7845679235304318843785659833,2310692179240138245708,1363.441645,5203638035671855744072,1353.135961,2.2297966961256265e-06,3.577768070616569e-21,4.296232301779273e-18,1364.744096085429024148933011
19271,27904851,1665097715,10632758.87566736889971320216617482,100735.8994529131893613654965495,20.1471798905826378722730993099,2407450074278945118302,1363.403729,5393619763158850044746,1349.475827,1.8948214782419857e-06,3.4562122843489044e-21,0.0,1367.907051673216944966145759
19272,28116495,1665184465,9553823.365055731716981414838993802,146023.745424038002106014304676,29.2047490848076004212028609352,2229761063809108928925,1342.636777,4898368942388083518772,1334.08,3.0568650862467806e-06,3.744563616189986e-21,4.564672998133391e-18,1345.090512980195959212400476
19273,28315319,1665272201,9532760.442767187521103022867399983,4999.5589604846865280447474665,0.9999117920969373056089494933,2222531637418014989647,1325.018799,4906934854886278204424,1314.2284,1.0489215564580798e-07,3.825243890767407e-21,4.542746624416257e-18,1341.888307318402625709737906
19274,28434015,1665346199,9389330.827446951453126614251505408,222869.625335051848843881941752,44.5739250670103697687763883504,2040314123754662770291,1330.916325,4997387708075248246821,1320.9,4.747295189206838e-06,3.796014125887461e-21,4.620174360966036e-18,1339.269641979709438338016194
19275,28581347,1665446080,8823144.442854538589622212759559685,54038.3043239490776353909498775,10.8076608647898155270781899755,2021154606401768786020,1308.746531,4721498529640062967727,1291.1083,1.2249216744425448e-06,3.9618460287081745e-21,4.510690915623238e-18,1313.43734228773278582795885
19276,28760923,1665532796,9011421.688211972871394626568901248,64279.2634325865999192302110895,12.8558526865173199838460422179,2109676589556223406606,1294.142368,4859913337918770558086,1279.66,1.4266175894680776e-06,3.678064137513541e-21,4.2357041272346675e-18,1297.747463252201927314510931
19277,28940283,1665617681,9117406.281968486333652018247498467,82812.803572094822239461525788,16.5625607144189644478923051576,2127320304756901471993,1308.665249,4845800927983787368130,1295.57,1.816586889099675e-06,3.673521468551543e-21,4.265608522801981e-18,1312.314383097513415648431053
19278,29207152,1665702798,9133699.842197117212218358097062939,630650.247227528252463062993982,126.1300494455056504926125987964,2093080118641455814208,1300.94779,4935318571411407298867,1293.25,1.3809305278764776e-05,3.508681877509683e-21,4.572360702497237e-18,1304.4445231642488617844285
19279,29393891,1665791876,9428815.413412691929166204781629221,351175.64485476337023085924015,70.23512897095267404617184803,2266576575601415962097,1309.71273,4952865725312231965574,1297.813,7.448987586610477e-06,3.4287362190730624e-21,4.2135995199765064e-18,1310.752285997266755044046151
