day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,token0Balance,token0PriceUSD,token1Balance,token1PriceUSD,dailyLPFeeROI,dailyCRVRewardROI,dailyOPRewardROI,dailyLDORewardROI
19414,77394185,1677455938,14828920.64245695868988571930208837,173913.418778278556249145249587,34.7826837556557112498290499174,3708701729744664031858,1821.688936,4017229412051327394088,1639.99,2.3455978081148243e-06,0.0,2.1151686579309687e-18,
19415,77651381,1677541763,14821760.37860021685230854711828622,27727.531997530276478901387961,5.5455063995060552957802775922,3699135247317354965309,1816.791962,4048868706158342295485,1635.04,3.7414627263254803e-07,0.0,2.2233098282953645e-18,
19416,77846600,1677628568,14872718.0062962981967283418777362,18442.901285195985319056780095,3.688580257039197063811356019,3785324653905822045225,1785.621777,4125591484373698357262,1607.94,2.4800982950645966e-07,0.0,2.056224414368734e-18,
19417,78054104,1677714407,15425601.9004706999215878320289723,1488.292280998591378382895694,0.2976584561997182756765791388,3789927342808895902096,1845.624791,4127489235408868939163,1663.68,1.9296391681846493e-08,0.0,1.985318124926155e-18,
19418,78266265,1677801316,15626642.94629074017174723239035414,144841.6434136124986333192585935,28.9683286827224997266638517187,3817994648651715469298,1831.641123,4290981681791298034474,1646.8,1.8537781135902029e-06,0.0,1.9645802183102718e-18,
19419,78471994,1677887667,15492407.92992313574114418032156719,50787.950350301113174167094061,10.1575900700602226348334188122,4018713820138570841991,1745.377673,4409357891007717212307,1570.49183,6.55649535953745e-07,0.0,1.8525362622655587e-18,
19420,78634145,1677973583,15954775.582014620883575138048574,8660.168552630876388543613874,1.7320337105261752777087227748,4162936552345084347819,1739.8972,4530894162109515828341,1565.43,1.0855895162064512e-07,0.0,1.5974083881657985e-18,
19421,78791327,1678060459,16018162.21327246040984412576021309,9480.612127242799418020612414,1.8961224254485598836041224828,4143719497768672814941,1739.592813,4597736539833696296438,1563.125,1.1837328154146517e-07,0.0,1.6778908899104396e-18,
19422,78951469,1678146746,16067881.72467338242218584638129261,47833.180856581904945136447968,9.5666361713163809890272895936,4135887747574524051302,1744.160882,4610298847440060541321,1566.89,5.953887597159821e-07,0.0,1.6066758245213162e-18,
19423,79147427,1678233567,16394099.11722149614846619590728642,154573.0681438460948803935269235,30.9146136287692189760787053847,4266431193608175054694,1737.115569,4692938577155467505414,1562.725,1.8857159156915408e-06,0.0,1.5669037308217547e-18,
19424,79378862,1678319552,16373817.25019608518103138391611625,74785.648426182881625312271659,14.9571296852365763250624543318,4337042958334884386106,1706.660599,4766882607832263597211,1534.27,9.134784794949057e-07,0.0,1.4767705338232156e-18,
19425,79657978,1678406300,15212109.43160977054381184598717251,310211.5305574171149429281587255,62.0423061114834229885856317451,4452968186180377945452,1597.703265,4554214376233600204727,1437.56,4.078481448638777e-06,0.0,1.4956867611627864e-18,
19426,79936944,1678492699,15416406.11133787488391434701685758,238002.960553737008716316069034,47.6005921107474017432632138068,4471741889921488834389,1600.878682,4651560239970183908446,1430.77,3.087658158910326e-06,0.0,1.5319670755804908e-18,
19427,80172455,1678578995,16347386.01733255064340927057516816,1575092.566100915807095549036211,315.0185132201831614191098072422,5030029015899702780848,1688.448516,4100739974274579585625,1487.27,1.9270268218183646e-05,0.0,1.3861312621018516e-18,
19428,80399170,1678665304,17552959.15222296237462122242633915,170917.3604414106954666484266965,34.1834720882821390933296853393,5015471988615738757940,1773.280403,4309251021200140151219,1587.226,1.9474478230044212e-06,0.0,1.4057004827162015e-18,
19429,80663513,1678751887,19054139.7392093325628813779022591,794710.920429185342873093728425,158.942184085837068574618745685,5172739728376469581619,1862.825762,4461854339067790489280,1677.73,8.341609028864638e-06,0.0,1.4355518745133967e-18,
19430,80934418,1678838060,19124147.44695823823674091101838315,601034.8614421380229952723065275,120.2069722884276045990544613055,5077535419607228479511,1895.927662,4430622878364134973258,1706.375,6.2856120839806095e-06,0.0,1.4861405040596125e-18,
19431,81242255,1678924489,18452543.12172095351358358674463828,168134.06601969156283454525345,33.62681320393831256690905069,5069189956218245338981,1835.08621,4399210623554803485087,1654.59,1.8223403127753886e-06,0.0,1.2798607797816997e-18,
19432,81509182,1679010554,18996478.34806314379169074222277941,169424.9616030278460874928307885,33.8849923206055692174985661577,5084669736758018044084,1863.228821,4529002695687320192647,1676.94,1.7837512669320857e-06,0.0,1.2950072067975204e-18,
19433,81757756,1679095491,20366772.14379017328433158993021986,168037.5071798944166841381761505,33.6075014359788833368276352301,5032219806413538179765,1990.077768,4649526659035630436966,1791.853126,1.6501142743046695e-06,0.0,1.2772491523589609e-18,
19434,82012330,1679183698,20867053.20488899035330470704716477,368745.482241050310652490362777,73.7490964482100621304980725554,5024060017456522660896,1958.869343,5054419386152957964282,1758.65,3.5342362778339596e-06,0.0,1.2287535928089425e-18,
