timestamp,day,blockNumber,totalValueLockedUSD,dailyLDORewardAmount,dailyLDORewardUSD,dailyLDORewardROI,dailyCRVRewardAmount,dailyCRVRewardUSD,dailyCRVRewardROI
1658871038,19199,15220526,25560141.441079423649529580621704,0.0,0.0,0.0,0.0,0.0,0.0
1658958753,19200,15227082,20378676.07628983348025091695466,0.0,0.0,0.0,0.0,0.0,0.0
1659049534,19201,15233812,22316729.57751379409784400158184,0.0,0.0,0.0,0.0,0.0,0.0
1659133234,19202,15240035,23018713.281385405216726134973896,0.0,0.0,0.0,0.0,0.0,0.0
1659210621,19203,15245785,22536821.770692034090034160047331,0.0,0.0,0.0,0.0,0.0,0.0
1659282309,19204,15251131,22529897.334037731236488698404108,0.0,0.0,0.0,0.0,0.0,0.0
1659398315,19205,15259744,21814936.152151761130998541533867,0.0,0.0,0.0,0.0,0.0,0.0
1659472214,19206,15265238,20948702.939726243876728967264384,0.0,0.0,0.0,0.0,0.0,0.0
1659569914,19207,15272478,20337351.16938406788857174964558,0.0,0.0,0.0,0.0,0.0,0.0
1659655064,19208,15278737,19930723.16078555012618772252921,0.0,0.0,0.0,0.0,0.0,0.0
1659733193,19209,15284603,19686923.229408543664480639476414,0.0,0.0,0.0,0.0,0.0,0.0
1659820450,19210,15291114,19686923.229408543664480639476414,0.0,0.0,0.0,0.0,0.0,0.0
1659913022,19211,15298005,20300301.888229292110522903115786,0.0,0.0,0.0,0.0,0.0,0.0
1659995802,19212,15304126,17382931.254008831601829714113836,0.0,0.0,0.0,0.0,0.0,0.0
1660077299,19213,15310157,17382931.254008831601829714113836,0.0,0.0,0.0,0.0,0.0,0.0
1660175522,19214,15317393,17382931.254008831601829714113836,0.0,0.0,0.0,0.0,0.0,0.0
1660254977,19215,15323181,18987695.628044268878264065408548,0.0,0.0,0.0,0.0,0.0,0.0
1660347207,19216,15329951,18881304.927395811330312184029372,0.0,0.0,0.0,0.0,0.0,0.0
1660433357,19217,15336319,18027176.086699327110536213480271,0.0,0.0,0.0,0.0,0.0,0.0
1660513790,19218,15342227,18027176.086699327110536213480271,0.0,0.0,0.0,0.0,0.0,0.0
1660596539,19219,15348206,18096895.540797982841385022532832,0.0,0.0,0.0,0.0,0.0,0.0
1660683798,19220,15354628,18089852.147449565586575960308176,0.0,0.0,0.0,0.0,0.0,0.0
1660864671,19222,15367871,17164047.877365513187775523877584,0.0,0.0,0.0,0.0,0.0,0.0
